country,indicatorType,indicator,unit,year,value
algeria,economic indicators,Government Gross Debt (share of GDP),%,2010,10.9
algeria,economic indicators,International Reserves,US $B,2010,170.5
algeria,economic indicators,CO2 emissions intensity,kg/$1000 of GDP,2010,246.88
algeria,economic indicators,CO2 emissions per capita,metric tons,2010,3.18
algeria,energy indicators,Gross energy production,ktoe,2017,
algeria,energy indicators,Gross energy production - Crude Oil and Oil Products,%,2017,
algeria,energy indicators,Gross energy production - Natural Gas,%,2017,
algeria,energy indicators,Gross energy production - Coal,%,2017,
algeria,energy indicators,Gross energy production - Nuclear,%,2017,
algeria,energy indicators,Gross energy production - Renewables,%,2017,
algeria,energy indicators,Gross energy production - Solar,%,2017,
algeria,energy indicators,Gross energy production - Wind,%,2017,
algeria,energy indicators,Gross energy production - Hydropower,%,2017,
algeria,energy indicators,Gross energy production - Other,%,2017,
algeria,energy indicators,Total energy export,ktoe,2017,
algeria,energy indicators,Total energy export - Crude Oil and Oil Products,%,2017,
algeria,energy indicators,Total energy export - Natural Gas,%,2017,
algeria,energy indicators,Total energy export - Coal,%,2017,
algeria,energy indicators,Total energy export - Electricity,%,2017,
algeria,energy indicators,Total energy import,ktoe,2017,
algeria,energy indicators,Total energy import- Crude Oil and Oil Products,%,2017,
algeria,energy indicators,Total energy import - Natural Gas,%,2017,
algeria,energy indicators,Total energy import - Coal,%,2017,
algeria,energy indicators,Total energy import - Electricity,%,2017,
algeria,energy indicators,Total primary energy supply (TPES),ktoe,2017,
algeria,energy indicators,Primary energy supply per capita,toe,2017,
algeria,energy indicators,Energy productivity,$/kgoe,2017,
algeria,energy indicators,Energy subsidies,$B,2017,
algeria,energy indicators,Final energy consumption,ktoe,2017,
algeria,energy indicators,Final energy consumption - Crude Oil and Oil Products,%,2017,
algeria,energy indicators,Final energy consumption - Natural Gas,%,2017,
algeria,energy indicators,Final energy consumption - Coal,%,2017,
algeria,energy indicators,Final energy consumption - Electricity,%,2017,
algeria,energy indicators,Final energy consumption - Other,%,2017,
algeria,energy indicators,Energy use per capita,toe,2017,
algeria,energy indicators,Energy use by Sector - Industry,%,2017,
algeria,energy indicators,Energy use by Sector - Transport,%,2017,
algeria,energy indicators,Energy use by Sector - Residential,%,2017,
algeria,energy indicators,Energy use by Sector - Tertiary,%,2017,
algeria,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2017,
algeria,energy indicators,Energy use by Sector - Other,%,2017,
algeria,energy indicators,Gross energy production,ktoe,2016,
algeria,energy indicators,Gross energy production - Crude Oil and Oil Products,%,2016,
algeria,energy indicators,Gross energy production - Natural Gas,%,2016,
algeria,energy indicators,Gross energy production - Coal,%,2016,
algeria,energy indicators,Gross energy production - Nuclear,%,2016,
algeria,energy indicators,Gross energy production - Renewables,%,2016,
algeria,energy indicators,Gross energy production - Solar,%,2016,
algeria,energy indicators,Gross energy production - Wind,%,2016,
algeria,energy indicators,Gross energy production - Hydropower,%,2016,
algeria,energy indicators,Gross energy production - Other,%,2016,
algeria,energy indicators,Total energy export,ktoe,2016,
algeria,energy indicators,Total energy export - Crude Oil and Oil Products,%,2016,
algeria,energy indicators,Total energy export - Natural Gas,%,2016,
algeria,energy indicators,Total energy export - Coal,%,2016,
algeria,energy indicators,Total energy export - Electricity,%,2016,
algeria,energy indicators,Total energy import,ktoe,2016,
algeria,energy indicators,Total energy import- Crude Oil and Oil Products,%,2016,
algeria,energy indicators,Total energy import - Natural Gas,%,2016,
algeria,energy indicators,Total energy import - Coal,%,2016,
algeria,energy indicators,Total energy import - Electricity,%,2016,
algeria,energy indicators,Total primary energy supply (TPES),ktoe,2016,
algeria,energy indicators,Primary energy supply per capita,toe,2016,
algeria,energy indicators,Energy productivity,$/kgoe,2016,
algeria,energy indicators,Energy subsidies,$B,2016,
algeria,energy indicators,Final energy consumption,ktoe,2016,
algeria,energy indicators,Final energy consumption - Crude Oil and Oil Products,%,2016,
algeria,energy indicators,Final energy consumption - Natural Gas,%,2016,
algeria,energy indicators,Final energy consumption - Coal,%,2016,
algeria,energy indicators,Final energy consumption - Electricity,%,2016,
algeria,energy indicators,Final energy consumption - Other,%,2016,
algeria,energy indicators,Energy use per capita,toe,2016,
algeria,energy indicators,Energy use by Sector - Industry,%,2016,
algeria,energy indicators,Energy use by Sector - Transport,%,2016,
algeria,energy indicators,Energy use by Sector - Residential,%,2016,
algeria,energy indicators,Energy use by Sector - Tertiary,%,2016,
algeria,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2016,
algeria,energy indicators,Energy use by Sector - Other,%,2016,
algeria,energy indicators,Gross energy production,ktoe,2015,
algeria,energy indicators,Gross energy production - Crude Oil and Oil Products,%,2015,
algeria,energy indicators,Gross energy production - Natural Gas,%,2015,
algeria,energy indicators,Gross energy production - Coal,%,2015,
algeria,energy indicators,Gross energy production - Nuclear,%,2015,
algeria,energy indicators,Gross energy production - Renewables,%,2015,
algeria,energy indicators,Gross energy production - Solar,%,2015,
algeria,energy indicators,Gross energy production - Wind,%,2015,
algeria,energy indicators,Gross energy production - Hydropower,%,2015,
algeria,energy indicators,Gross energy production - Other,%,2015,
algeria,energy indicators,Total energy export,ktoe,2015,
algeria,energy indicators,Total energy export - Crude Oil and Oil Products,%,2015,
algeria,energy indicators,Total energy export - Natural Gas,%,2015,
algeria,energy indicators,Total energy export - Coal,%,2015,
algeria,energy indicators,Total energy export - Electricity,%,2015,
algeria,energy indicators,Total energy import,ktoe,2015,
algeria,energy indicators,Total energy import- Crude Oil and Oil Products,%,2015,
algeria,energy indicators,Total energy import - Natural Gas,%,2015,
algeria,energy indicators,Total energy import - Coal,%,2015,
algeria,energy indicators,Total energy import - Electricity,%,2015,
algeria,energy indicators,Total primary energy supply (TPES),ktoe,2015,
algeria,energy indicators,Primary energy supply per capita,toe,2015,
algeria,energy indicators,Energy productivity,$/kgoe,2015,
algeria,energy indicators,Energy subsidies,$B,2015,23.86992164
algeria,energy indicators,Final energy consumption,ktoe,2015,
algeria,energy indicators,Final energy consumption - Crude Oil and Oil Products,%,2015,
algeria,energy indicators,Final energy consumption - Natural Gas,%,2015,
algeria,energy indicators,Final energy consumption - Coal,%,2015,
algeria,energy indicators,Final energy consumption - Electricity,%,2015,
algeria,energy indicators,Final energy consumption - Other,%,2015,
algeria,energy indicators,Energy use per capita,toe,2015,
algeria,energy indicators,Energy use by Sector - Industry,%,2015,
algeria,energy indicators,Energy use by Sector - Transport,%,2015,
algeria,energy indicators,Energy use by Sector - Residential,%,2015,
algeria,energy indicators,Energy use by Sector - Tertiary,%,2015,
algeria,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2015,
algeria,energy indicators,Energy use by Sector - Other,%,2015,
algeria,energy indicators,Gross energy production,ktoe,2014,143197.3
algeria,energy indicators,Gross energy production - Crude Oil and Oil Products,%,2014,50.96184565
algeria,energy indicators,Gross energy production - Natural Gas,%,2014,49.01871404
algeria,energy indicators,Gross energy production - Coal,%,2014,0
algeria,energy indicators,Gross energy production - Nuclear,%,2014,0
algeria,energy indicators,Gross energy production - Renewables,%,2014,0.019440311
algeria,energy indicators,Gross energy production - Solar,%,2014,0
algeria,energy indicators,Gross energy production - Wind,%,2014,0
algeria,energy indicators,Gross energy production - Hydropower,%,2014,0.015254478
algeria,energy indicators,Gross energy production - Other,%,2014,0
algeria,energy indicators,Total energy export,ktoe,2014,93396.093
algeria,energy indicators,Total energy export - Crude Oil and Oil Products,%,2014,59.29711963
algeria,energy indicators,Total energy export - Natural Gas,%,2014,40.62212538
algeria,energy indicators,Total energy export - Coal,%,2014,0
algeria,energy indicators,Total energy export - Electricity,%,2014,0.080754984
algeria,energy indicators,Total energy import,ktoe,2014,3651.449
algeria,energy indicators,Total energy import- Crude Oil and Oil Products,%,2014,93.6621051
algeria,energy indicators,Total energy import - Natural Gas,%,2014,0
algeria,energy indicators,Total energy import - Coal,%,2014,4.722180154
algeria,energy indicators,Total energy import - Electricity,%,2014,1.615687361
algeria,energy indicators,Total primary energy supply (TPES),ktoe,2014,51672.578
algeria,energy indicators,Primary energy supply per capita,toe,2014,1.327320267
algeria,energy indicators,Energy productivity,$/kgoe,2014,4.132172387
algeria,energy indicators,Energy subsidies,$B,2014,24.4
algeria,energy indicators,Final energy consumption,ktoe,2014,35019.156
algeria,energy indicators,Final energy consumption - Crude Oil and Oil Products,%,2014,51.50428525
algeria,energy indicators,Final energy consumption - Natural Gas,%,2014,37.15711766
algeria,energy indicators,Final energy consumption - Coal,%,2014,0.085955812
algeria,energy indicators,Final energy consumption - Electricity,%,2014,11.23552492
algeria,energy indicators,Final energy consumption - Other,%,2014,0.017116346
algeria,energy indicators,Energy use per capita,toe,2014,0.899541639
algeria,energy indicators,Energy use by Sector - Industry,%,2014,15.53036001
algeria,energy indicators,Energy use by Sector - Transport,%,2014,41.49456086
algeria,energy indicators,Energy use by Sector - Residential,%,2014,26.41161597
algeria,energy indicators,Energy use by Sector - Tertiary,%,2014,0
algeria,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2014,0.576370259
algeria,energy indicators,Energy use by Sector - Other,%,2014,15.98709289
algeria,energy indicators,Gross energy production,ktoe,2013,137669.492
algeria,energy indicators,Gross energy production - Crude Oil and Oil Products,%,2013,49.9255899
algeria,energy indicators,Gross energy production - Natural Gas,%,2013,50.03787114
algeria,energy indicators,Gross energy production - Coal,%,2013,0
algeria,energy indicators,Gross energy production - Nuclear,%,2013,0
algeria,energy indicators,Gross energy production - Renewables,%,2013,0.036538233
algeria,energy indicators,Gross energy production - Solar,%,2013,0
algeria,energy indicators,Gross energy production - Wind,%,2013,0
algeria,energy indicators,Gross energy production - Hydropower,%,2013,0.020614589
algeria,energy indicators,Gross energy production - Other,%,2013,7.26E-07
algeria,energy indicators,Total energy export,ktoe,2013,94943.648
algeria,energy indicators,Total energy export - Crude Oil and Oil Products,%,2013,57.52375978
algeria,energy indicators,Total energy export - Natural Gas,%,2013,42.44145854
algeria,energy indicators,Total energy export - Coal,%,2013,0
algeria,energy indicators,Total energy export - Electricity,%,2013,0.034782738
algeria,energy indicators,Total energy import,ktoe,2013,5754.706
algeria,energy indicators,Total energy import- Crude Oil and Oil Products,%,2013,96.39899936
algeria,energy indicators,Total energy import - Natural Gas,%,2013,0
algeria,energy indicators,Total energy import - Coal,%,2013,3.160144063
algeria,energy indicators,Total energy import - Electricity,%,2013,0.440856579
algeria,energy indicators,Total primary energy supply (TPES),ktoe,2013,47579.626
algeria,energy indicators,Primary energy supply per capita,toe,2013,1.245866091
algeria,energy indicators,Energy productivity,$/kgoe,2013,4.407348641
algeria,energy indicators,Energy subsidies,$B,2013,29.321721
algeria,energy indicators,Final energy consumption,ktoe,2013,31893.52
algeria,energy indicators,Final energy consumption - Crude Oil and Oil Products,%,2013,51.88693189
algeria,energy indicators,Final energy consumption - Natural Gas,%,2013,36.13809326
algeria,energy indicators,Final energy consumption - Coal,%,2013,0.194233813
algeria,energy indicators,Final energy consumption - Electricity,%,2013,11.63743607
algeria,energy indicators,Final energy consumption - Other,%,2013,0.143304972
algeria,energy indicators,Energy use per capita,toe,2013,0.83512752
algeria,energy indicators,Energy use by Sector - Industry,%,2013,16.71412563
algeria,energy indicators,Energy use by Sector - Transport,%,2013,39.39242831
algeria,energy indicators,Energy use by Sector - Residential,%,2013,27.99731105
algeria,energy indicators,Energy use by Sector - Tertiary,%,2013,0
algeria,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2013,0.389053952
algeria,energy indicators,Energy use by Sector - Other,%,2013,15.50708106
algeria,energy indicators,Gross energy production,ktoe,2012,143763.68
algeria,energy indicators,Gross energy production - Crude Oil and Oil Products,%,2012,49.51517936
algeria,energy indicators,Gross energy production - Natural Gas,%,2012,50.43678209
algeria,energy indicators,Gross energy production - Coal,%,2012,0
algeria,energy indicators,Gross energy production - Nuclear,%,2012,0
algeria,energy indicators,Gross energy production - Renewables,%,2012,0.048038559
algeria,energy indicators,Gross energy production - Solar,%,2012,0
algeria,energy indicators,Gross energy production - Wind,%,2012,0
algeria,energy indicators,Gross energy production - Hydropower,%,2012,0.037208285
algeria,energy indicators,Gross energy production - Other,%,2012,0
algeria,energy indicators,Total energy export,ktoe,2012,102433.231
algeria,energy indicators,Total energy export - Crude Oil and Oil Products,%,2012,56.47350028
algeria,energy indicators,Total energy export - Natural Gas,%,2012,43.44380194
algeria,energy indicators,Total energy export - Coal,%,2012,0
algeria,energy indicators,Total energy export - Electricity,%,2012,0.082697772
algeria,energy indicators,Total energy import,ktoe,2012,5301.213
algeria,energy indicators,Total energy import- Crude Oil and Oil Products,%,2012,93.13253401
algeria,energy indicators,Total energy import - Natural Gas,%,2012,0
algeria,energy indicators,Total energy import - Coal,%,2012,5.349021064
algeria,energy indicators,Total energy import - Electricity,%,2012,1.518444929
algeria,energy indicators,Total primary energy supply (TPES),ktoe,2012,45965.262
algeria,energy indicators,Primary energy supply per capita,toe,2012,1.227704647
algeria,energy indicators,Energy productivity,$/kgoe,2012,4.547129526
algeria,energy indicators,Energy subsidies,$B,2012,
algeria,energy indicators,Final energy consumption,ktoe,2012,30492.48
algeria,energy indicators,Final energy consumption - Crude Oil and Oil Products,%,2012,51.77259442
algeria,energy indicators,Final energy consumption - Natural Gas,%,2012,36.39245807
algeria,energy indicators,Final energy consumption - Coal,%,2012,0.283276401
algeria,energy indicators,Final energy consumption - Electricity,%,2012,11.50061261
algeria,energy indicators,Final energy consumption - Other,%,2012,0.05105849
algeria,energy indicators,Energy use per capita,toe,2012,0.814435897
algeria,energy indicators,Energy use by Sector - Industry,%,2012,17.09678911
algeria,energy indicators,Energy use by Sector - Transport,%,2012,39.77257343
algeria,energy indicators,Energy use by Sector - Residential,%,2012,26.88825901
algeria,energy indicators,Energy use by Sector - Tertiary,%,2012,0.020650993
algeria,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2012,0.536407665
algeria,energy indicators,Energy use by Sector - Other,%,2012,15.68531979
algeria,energy indicators,Gross energy production,ktoe,2011,145832.565
algeria,energy indicators,Gross energy production - Crude Oil and Oil Products,%,2011,52.2500554
algeria,energy indicators,Gross energy production - Natural Gas,%,2011,47.70930416
algeria,energy indicators,Gross energy production - Coal,%,2011,0
algeria,energy indicators,Gross energy production - Nuclear,%,2011,0
algeria,energy indicators,Gross energy production - Renewables,%,2011,0.040640443
algeria,energy indicators,Gross energy production - Solar,%,2011,0
algeria,energy indicators,Gross energy production - Wind,%,2011,0
algeria,energy indicators,Gross energy production - Hydropower,%,2011,0.029603813
algeria,energy indicators,Gross energy production - Other,%,2011,0
algeria,energy indicators,Total energy export,ktoe,2011,105981.927
algeria,energy indicators,Total energy export - Crude Oil and Oil Products,%,2011,57.66651327
algeria,energy indicators,Total energy export - Natural Gas,%,2011,42.2686502
algeria,energy indicators,Total energy export - Coal,%,2011,0
algeria,energy indicators,Total energy export - Electricity,%,2011,0.064835583
algeria,energy indicators,Total energy import,ktoe,2011,2718.044
algeria,energy indicators,Total energy import- Crude Oil and Oil Products,%,2011,87.06735432
algeria,energy indicators,Total energy import - Natural Gas,%,2011,0
algeria,energy indicators,Total energy import - Coal,%,2011,10.85387139
algeria,energy indicators,Total energy import - Electricity,%,2011,2.078774295
algeria,energy indicators,Total primary energy supply (TPES),ktoe,2011,41817.609
algeria,energy indicators,Primary energy supply per capita,toe,2011,1.138823775
algeria,energy indicators,Energy productivity,$/kgoe,2011,4.767847918
algeria,energy indicators,Energy subsidies,$B,2011,
algeria,energy indicators,Final energy consumption,ktoe,2011,27645.387
algeria,energy indicators,Final energy consumption - Crude Oil and Oil Products,%,2011,52.99916764
algeria,energy indicators,Final energy consumption - Natural Gas,%,2011,35.45866441
algeria,energy indicators,Final energy consumption - Coal,%,2011,0.326347394
algeria,energy indicators,Final energy consumption - Electricity,%,2011,11.15760109
algeria,energy indicators,Final energy consumption - Other,%,2011,0.058219478
algeria,energy indicators,Energy use per capita,toe,2011,0.752870016
algeria,energy indicators,Energy use by Sector - Industry,%,2011,19.47246027
algeria,energy indicators,Energy use by Sector - Transport,%,2011,39.82976256
algeria,energy indicators,Energy use by Sector - Residential,%,2011,25.75769694
algeria,energy indicators,Energy use by Sector - Tertiary,%,2011,0.019511393
algeria,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2011,0.566499575
algeria,energy indicators,Energy use by Sector - Other,%,2011,14.35406927
algeria,energy indicators,Gross energy production,ktoe,2010,150510.895
algeria,energy indicators,Gross energy production - Crude Oil and Oil Products,%,2010,52.15272223
algeria,energy indicators,Gross energy production - Natural Gas,%,2010,47.80292217
algeria,energy indicators,Gross energy production - Coal,%,2010,0
algeria,energy indicators,Gross energy production - Nuclear,%,2010,0
algeria,energy indicators,Gross energy production - Renewables,%,2010,0.044355593
algeria,energy indicators,Gross energy production - Solar,%,2010,0
algeria,energy indicators,Gross energy production - Wind,%,2010,0
algeria,energy indicators,Gross energy production - Hydropower,%,2010,0.009942137
algeria,energy indicators,Gross energy production - Other,%,2010,0
algeria,energy indicators,Total energy export,ktoe,2010,111100.497
algeria,energy indicators,Total energy export - Crude Oil and Oil Products,%,2010,56.1621727
algeria,energy indicators,Total energy export - Natural Gas,%,2010,43.77566916
algeria,energy indicators,Total energy export - Coal,%,2010,0
algeria,energy indicators,Total energy export - Electricity,%,2010,0.062158138
algeria,energy indicators,Total energy import,ktoe,2010,1694.684
algeria,energy indicators,Total energy import- Crude Oil and Oil Products,%,2010,76.35305461
algeria,energy indicators,Total energy import - Natural Gas,%,2010,0
algeria,energy indicators,Total energy import - Coal,%,2010,19.9120308
algeria,energy indicators,Total energy import - Electricity,%,2010,3.7349736
algeria,energy indicators,Total primary energy supply (TPES),ktoe,2010,40086.693
algeria,energy indicators,Primary energy supply per capita,toe,2010,1.11228338
algeria,energy indicators,Energy productivity,$/kgoe,2010,4.021534029
algeria,energy indicators,Energy subsidies,$B,2010,
algeria,energy indicators,Final energy consumption,ktoe,2010,26518.964
algeria,energy indicators,Final energy consumption - Crude Oil and Oil Products,%,2010,54.16153135
algeria,energy indicators,Final energy consumption - Natural Gas,%,2010,34.35511659
algeria,energy indicators,Final energy consumption - Coal,%,2010,0.433840477
algeria,energy indicators,Final energy consumption - Electricity,%,2010,10.85419476
algeria,energy indicators,Final energy consumption - Other,%,2010,0.195316831
algeria,energy indicators,Energy use per capita,toe,2010,0.735820311
algeria,energy indicators,Energy use by Sector - Industry,%,2010,19.74074477
algeria,energy indicators,Energy use by Sector - Transport,%,2010,40.21624676
algeria,energy indicators,Energy use by Sector - Residential,%,2010,24.41764316
algeria,energy indicators,Energy use by Sector - Tertiary,%,2010,0.017990899
algeria,energy indicators,Energy use by Sector - Agricultural & Fishing,%,2010,0.550896332
algeria,energy indicators,Energy use by Sector - Other,%,2010,15.05647807
algeria,oil indicators,Oil production,kbl/day,2017,
algeria,oil indicators,Oil reserves,Gbl,2017,12
algeria,oil indicators,Oil reserve to production ratio,years,2017,
algeria,oil indicators,Fiscal breakeven oil price,$/bl,2017,64.73554949
algeria,oil indicators,External breakeven oil price,$/bl,2017,74.45597469
algeria,oil indicators,Oil Imports,kbl,2017,
algeria,oil indicators,Oil exports,kbl,2017,
algeria,oil indicators,Oil rents (% of GDP),%,2017,
algeria,oil indicators,Oil production,kbl/day,2016,
algeria,oil indicators,Oil reserves,Gbl,2016,12
algeria,oil indicators,Oil reserve to production ratio,years,2016,
algeria,oil indicators,Fiscal breakeven oil price,$/bl,2016,92.97740591
algeria,oil indicators,External breakeven oil price,$/bl,2016,73.34483769
algeria,oil indicators,Oil Imports,kbl,2016,
algeria,oil indicators,Oil exports,kbl,2016,
algeria,oil indicators,Oil rents (% of GDP),%,2016,
algeria,oil indicators,Oil production,kbl/day,2015,1544
algeria,oil indicators,Oil reserves,Gbl,2015,12
algeria,oil indicators,Oil reserve to production ratio,years,2015,21.29320747
algeria,oil indicators,Fiscal breakeven oil price,$/bl,2015,106.8257483
algeria,oil indicators,External breakeven oil price,$/bl,2015,84.54663069
algeria,oil indicators,Oil Imports,kbl,2015,
algeria,oil indicators,Oil exports,kbl,2015,
algeria,oil indicators,Oil rents (% of GDP),%,2015,9.1
algeria,oil indicators,Oil production,kbl/day,2014,1541
algeria,oil indicators,Oil reserves,Gbl,2014,12
algeria,oil indicators,Oil reserve to production ratio,years,2014,21.33466082
algeria,oil indicators,Fiscal breakeven oil price,$/bl,2014,135.327322
algeria,oil indicators,External breakeven oil price,$/bl,2014,94.78563294
algeria,oil indicators,Oil Imports,kbl,2014,69
algeria,oil indicators,Oil exports,kbl,2014,1212
algeria,oil indicators,Oil rents (% of GDP),%,2014,15.7
algeria,oil indicators,Oil production,kbl/day,2013,1450
algeria,oil indicators,Oil reserves,Gbl,2013,12
algeria,oil indicators,Oil reserve to production ratio,years,2013,22.67359471
algeria,oil indicators,Fiscal breakeven oil price,$/bl,2013,108.135658
algeria,oil indicators,External breakeven oil price,$/bl,2013,87.51648798
algeria,oil indicators,Oil Imports,kbl,2013,112
algeria,oil indicators,Oil exports,kbl,2013,1182
algeria,oil indicators,Oil rents (% of GDP),%,2013,17.4
algeria,oil indicators,Oil production,kbl/day,2012,1498
algeria,oil indicators,Oil reserves,Gbl,2012,12
algeria,oil indicators,Oil reserve to production ratio,years,2012,21.94707098
